"codigo_ocorrencia";"ocorrencia_classificacao";"ocorrencia_latitude";"ocorrencia_longitude";"ocorrencia_cidade";"ocorrencia_uf";"ocorrencia_pais";"ocorrencia_aerodromo";"ocorrencia_dia";"ocorrencia_hora";"investigacao_aeronave_liberada";"investigacao_status";"divulgacao_relatorio_numero";"divulgacao_relatorio_publicado";"divulgacao_dia_publicacao";"total_recomendacoes";"total_aeronaves_envolvidas";"ocorrencia_saida_pista";"Mes";"Dia_mes";"Semana_mes";"Dia_Semana";"Hora"
52638;"ACIDENTE";-20,0080555556;-44,3333333333;"JUATUBA";"MG";"BRASIL";"";2014-10-17;20:30:00;"SIM";"FINALIZADA";"A-173/CENIPA/2014";"SIM";2016-06-23;0;1;"NÃO";10;17;3;6;20
52727;"INCIDENTE";NA;NA;"SANTARÉM";"PA";"BRASIL";"SBSN";2014-10-17;10:27:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;17;3;6;10
52639;"ACIDENTE";-8,8491666667;-59,2663888889;"MANOEL URBANO";"AC";"BRASIL";"SSPX";2014-10-19;20:05:00;"SIM";"FINALIZADA";"A-174/CENIPA/2014";"SIM";2015-07-15;0;1;"SIM";10;19;3;1;20
52728;"INCIDENTE";NA;NA;"SÃO LUÍS";"MA";"BRASIL";"SBSL";2014-10-20;20:33:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;20;3;2;20
52640;"ACIDENTE";-20,1361111111;-54,6702777778;"CAMPO GRANDE";"MS";"BRASIL";"SBCG";2014-10-22;14:01:00;"SIM";"FINALIZADA";"A-175/CENIPA/2014";"SIM";2019-03-11;2;1;"NÃO";10;22;4;4;14
52672;"ACIDENTE";NA;NA;"ELDORADO DO SUL";"RS";"BRASIL";"SIXE";2014-10-22;13:20:00;"";"";"";"NÃO";NA;0;1;"NÃO";10;22;4;4;13
52694;"INCIDENTE GRAVE";-22,9791666667;-46,5375;"BRAGANÇA PAULISTA";"SP";"BRASIL";"SBBP";2014-10-23;16:00:00;"SIM";"FINALIZADA";"IG-176/CENIPA/2014";"SIM";2018-12-19;1;1;"SIM";10;23;4;5;16
52691;"INCIDENTE GRAVE";NA;NA;"SANTANA DO PARAÍSO";"MG";"BRASIL";"";2014-10-24;15:35:00;"";"";"";"NÃO";NA;0;1;"NÃO";10;24;4;6;15
52729;"INCIDENTE";NA;NA;"MARABÁ";"PA";"BRASIL";"SBMA";2014-10-24;12:13:00;"";"FINALIZADA";"";"NÃO";NA;0;1;"NÃO";10;24;4;6;12
52651;"ACIDENTE";-1,144722;-61,1594444444;"RORAINÓPOLIS";"RR";"BRASIL";"";2014-10-26;17:30:00;"SIM";"FINALIZADA";"A-177/CENIPA/2014";"SIM";2015-08-04;1;1;"NÃO";10;26;4;1;17
